title,id,hour,minute,second,continent,weather
,,48,4215,3321,,
Amsterdam 4K - Morning Drive - Canals & Bicycles,YQMPjBxM-hY,0,41,17,,
Amsterdam 4K - Driving Downtown - Sunset Drive,Ve4DvQNnDDQ,0,57,10,,
Madrid 4K - Night Drive - Spain,6CadnBQGLdE,0,49,19,,
Brussels 4K - Driving Downtown - Europe's Washington DC,TDWjujb2Tjo,1,2,7,,
Madrid 4K - Driving Downtown - Spain,C911U_Fo-QU,1,8,21,,
Miami Beach 4K - Driving Downtown - Morning Drive,vifIDKDrfq4,0,35,7,,
Miami 4K - Singapore Of The US - Sunset Drive,ASaXDIDStG4,0,57,50,,
Ibiza Spain 4K - Driving Downtown - Night Drive,XQNwk_ajmW4,0,59,35,,
Ibiza 4K - Island Road Trip - Scenic Drive,uSr1Tz1I9IE,0,51,51,,
Barcelona 4K - Driving Downtown - Mediterranean Metropolis,VaSFsM3s5bI,1,6,46,,
Rome 4K - Night Drive,ebxiasWyeBw,0,31,59,,
Italian Riviera 4K - Yachts & Seaside Resorts - Scenic Drive,7NSGFFb_YJs,2,10,7,,
Monaco 4K - Billionaires' Playground - Sunset Drive,ij6xccYYIuE,0,31,15,,
Basel Switzerland 4K - Morning Drive - Driving Downtown,xnOipFdTGFU,0,50,23,,
Zurich Switzerland 4K - Sunset Drive,WVggB714jqU,0,47,11,,
Milan Italy 4K - Morning Drive - Driving Downtown,408tDCkG4ZE,0,43,1,,
Rome 4K - Morning Drive - Driving Downtown,ytiM1nMv_xU,0,58,50,,
Geneva Switzerland 4K - Driving Downtown,w4rKX6uRT5I,1,6,19,,
Las Vegas 4K - America's Playground - Skyline Sunrise,PdMrwVxkt5I,0,25,2,,
Malibu 4K - Mountains & Canyons - Ferrari F8 Spider 2021 - Scenic Drive,91c_RCvPka0,0,38,32,,
Los Angeles 4K - Sunset Drive - USA,cdXzojwKorg,0,56,26,,
Seattle 4K - Sunset Drive - USA,1ObALKmvLTE,0,40,18,,
Malibu 4K - Ferrari F8 Spider 2021 - Scenic Drive,avTBYK-snOU,0,51,51,,
Los Angeles 4K - Ferrari F8 Spider 2021 - Night Drive,_gJe9JPgwLM,0,44,10,,
California Coast 4K - Sunset Drive - Big Sur,VA9q5nG8OcM,0,32,30,,
Daytona Beach 4K - Scenic Drive,kGy6ofm_37A,0,27,17,,
Florida 4K - Sunshine Skyway - Scenic Drive,Mur_1O3ckyA,1,17,3,,
Tampa 4K - Night Drive,26_9x6sEj2Y,0,45,14,,
Orlando 4K - Night Drive,5vUF7hbhiAs,0,55,57,,
Washington DC 4K - Driving Downtown,luHFgP5ep04,0,47,14,,
Atlantic City 4K - Driving Downtown - Little Las Vegas,PGxEADeE9W8,0,27,24,,
Washington DC 4K - Sunset Drive,vOZ4TzhAmLs,0,39,35,,
New York City 4K - Night Drive,UPrPATfWJ2g,0,54,40,,
New York City 4K - Midtown Manhattan Drive,MicJhaZ7zeY,1,3,38,,
Philadelphia 4K - Driving Downtown - USA,6lXWYkzVx7E,0,52,22,,
Philadelphia 4K - Winter Night Drive,BBmRgmGNf7A,0,41,22,,
Boston 4K - Winter Weekend Drive,zxz4pFSJugY,1,10,9,,
Brooklyn 4K - Night Drive,yhCAWZlv_Sc,0,26,40,,
New York City 4K - Sunset Drive,LQLJu-EpkeE,0,52,21,,
New York City 4K - Skyline Highway Drive,gBsHxC-_LoU,0,32,37,,
Boston 4K - Night Drive - USA,EQ9Rm43jGpw,1,1,12,,
Dubai 4K - Skyline Expressway Sunrise - Driving Downtown,Rl3zyHDjSIs,1,20,29,,
Cairo Egypt 4K - Rush Hour - Driving Downtown,Esyp2P0uJu4,1,36,50,,
Istanbul Turkey 4K - Coastal Night Drive,aTsG9KK_Mkk,0,43,4,,
Utah 4K - Desert Snow - Scenic Drive - USA,BlMPjhL4jqg,1,3,53,,
Park City Utah 4K - Sundance Ski Town - Scenic Drive,ZY7Oz6CrLTo,1,1,14,,
Salt Lake City 4K - Night Drive - USA,93D6qxMlk7g,0,37,17,,
Arches National Park 4K - Winter Sunrise - Scenic Drive - USA,87jnG5pO230,1,18,58,,
Aspen 4K - Hollywood's Ski Resort - Scenic Drive - USA,shP1PLHY_6o,0,33,8,,
Grand Teton National Park 4K - Scenic Drive - Wyoming USA,SeXcCz_mTcg,1,17,2,,
Jackson Hole 4K - Wyoming's Billionaire Wilderness - Scenic Drive,xBWeFV9wAK0,0,27,22,,
USA Ski Country 4K - Colorado Scenic Drive,ZluHUNIw8-o,1,10,12,,
Breckenridge 4K - Swiss Alpine Ski Town - Scenic Drive - USA,EuEfQVirnf8,0,24,41,,
Denver 4K - Mile High City - Driving Downtown,mj-EcEg03_A,0,30,12,,
Cairo 4K - Pyramid Expressway Sunrise - Scenic Drive,7skHUIkbQac,0,23,51,,
Miami 4K - Vice City - Driving Downtown,drt8bDQ49b4,1,3,27,,
Rio De Janeiro 4K - Miami Beach of South America,l8geG89VAMY,1,27,22,,
Istanbul 4K - Night Drive - Turkey,bNEGEb_YtmU,1,2,58,,
Dubai 4K - Night Drive - Desert Metropolis,gAejektGusM,1,27,10,,
Istanbul 4K - Driving Downtown - Turkey,RKIPWCWldzE,1,32,39,,
Cairo 4K - Night Drive - Driving Downtown,86pZTI5gJQM,1,1,57,,
Cairo 4K - Driving Downtown - Egypt,--I-TdCe2_g,0,43,47,,
Dubai 4K - Miami of the Middle East - Morning Drive,ta6bRf4MqNo,0,46,10,,
Dubai 4K - Driving Downtown - Skyscraper Sunset,TE2tfavIo3E,1,18,15,,
California Coast 4K - Scenic Drive,q52pS_RtcXo,0,38,30,,
Las Vegas 4K - Midnight Drive,HZaLvgP-R8E,1,15,38,,
Bryce Canyon National Park 4K - Scenic Drive - Utah USA,xsW00gX-KMs,0,47,40,,
Arches National Park 4K - Scenic Drive - Utah USA,l-xaEoKGIxY,0,58,3,,
Florida Keys 4K - Tropical Islands - Scenic Drive,KDrVpkbwcbg,1,36,28,,
Palm Beach 4K - Mar-a-Lago Billionaire Resort - Scenic Drive,znNVVV2uezc,1,8,40,,
Miami 4K - Gold Coast - Scenic Drive,xj7abSp07w0,1,40,51,,
Zion National Park 4K - Scenic Drive - Utah USA,ydvsyAZbuSQ,0,54,34,,
Las Vegas 4K - Sunset Drive,X9U5DafT0d4,0,58,30,,
Miami 4K - Night Drive,Cod_ggrs69U,1,8,15,,
Los Angeles 4K - Central Park,FKUbIhpBRkI,0,40,29,,
Los Angeles 4K - Pacific Coast Highway - Scenic Drive,nJuonVtyLWk,0,46,20,,
Napa Valley 4K - California Vineyards - Scenic Drive,fZqP89ro0ro,1,11,30,,
